Brand,Name,Location,Latitude (generated),Longitude (generated),Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
BMW,BMW X5 xDrive 30d M Sport,Chennai,13.09,80.27,2017,650000,Diesel,Automatic,First,15.97,2993,258,5,65
Skoda,Skoda Octavia Ambition Plus 2.0 TDI AT,Kolkata,22.5411,88.3378,2013,775000,Diesel,Automatic,First,19.3,1968,141,5,7.5
Volkswagen,Volkswagen Vento Diesel Highline,Chennai,13.09,80.27,2013,720000,Diesel,Manual,First,20.54,1598,103.6,5,5.9
Hyundai,Hyundai i10 Magna 1.2,Chennai,13.09,80.27,2009,620000,Petrol,Manual,First,20.36,1197,78.9,5,2.7
Volkswagen,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Chennai,13.09,80.27,2015,480000,Diesel,Automatic,First,16.96,1968,138.03,5,13
Honda,Honda City i VTEC SV,Kolkata,22.5411,88.3378,2015,480000,Petrol,Manual,First,17.4,1497,117.3,5,5
Hyundai,Hyundai i20 Magna Optional 1.2,Bangalore,12.9699,77.598,2013,445000,Petrol,Manual,First,18.5,1197,82.9,5,4.45
Tata,Tata Indigo LS,Jaipur,26.9167,75.8667,2008,300000,Diesel,Manual,First,17,1405,70,5,1
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,17.3667,78.4667,2005,299322,Diesel,Manual,First,12.8,2494,102,8,4
Skoda,Skoda Superb 1.8 TSI MT,Pune,18.5236,73.8478,2012,282000,Petrol,Manual,First,13.14,1798,160,5,3.3
Toyota,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,18.9667,72.8333,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4
Toyota,Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,18.5236,73.8478,2013,255000,Diesel,Manual,Third,12.99,2494,100.6,7,6.5
Toyota,Toyota Innova 2.5 GX 7 STR,Hyderabad,17.3667,78.4667,2010,250000,Diesel,Manual,Second,12.8,2494,102,7,6.5
Toyota,Toyota Innova 2.5 GX (Diesel) 8 Seater,Chennai,13.09,80.27,2014,250000,Diesel,Manual,First,12.99,2494,100.6,8,10.9
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,Jaipur,26.9167,75.8667,2013,250000,Diesel,Manual,Second,12.99,2494,100.6,8,7.9
